"ID","URL","PDF","Country","Province","Date","Trial status","Design","Blinding","Arms","COVID-19 status","Severity","Patient setting","Outcome","Treatment","Size"
"NCT04351724","https://ClinicalTrials.gov/show/NCT04351724",NA,"Austria","Vienna","2020-Apr","Recruiting","Randomized","Open-Label",9,"Yes","Mixed","Mixed",NA,"HCQ, LPV/r, Multiple others",500
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","California","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Colorado","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Connecticut","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Hawaii","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Illinois","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Indiana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Iowa","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Louisiana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Maine","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Maryland","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Massachusetts","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Michigan","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Minnesota","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Montana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","New Hampshire","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","New Jersey","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","New York","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","North Carolina","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Ohio","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Oregon","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Pennsylvania","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Rhode Island","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","South Carolina","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Texas","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Utah","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Virginia","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United States","Washington","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"China","Beijing","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"France","Paris","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Germany","Berlin","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Germany","Hamburg","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Germany","Schleswig-Holstein","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"China","Hong Kong","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Bergamo","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Brescia","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Cremona","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Milano","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Rome","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Padova","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Parma","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Pavia","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Piacenza","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Italy","Roma","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Japan","Kanagawa","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Japan","Tokyo","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"South Korea","Daegu","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"South Korea","Seoul","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Netherlands","Amsterdam","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Singapore","Singapore","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Spain","Asturias","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Spain","Madrid","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Spain","Barcelona","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Spain","Bizkaia","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Spain","Sevilla","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Sweden","Stockholm","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Switzerland","Bern","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Taiwan","Taipei","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"Taiwan","Taipei City","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Edinburgh","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Glasgow","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","London","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Liverpool","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Manchester","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Plymouth","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292899","https://ClinicalTrials.gov/show/NCT04292899",NA,"United Kingdom","Sheffield","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Severe","Hospitalized","Clinical Improvement Score (Any), Adverse Events","Remdesivir",6000
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","California","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Colorado","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Connecticut","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Hawaii","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Illinois","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Indiana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Iowa","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Louisiana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Maine","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Maryland","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Massachusetts","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Michigan","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Minnesota","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Montana","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","New Hampshire","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","New Jersey","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","New York","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","North Carolina","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Ohio","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Oregon","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Pennsylvania","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Rhode Island","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","South Carolina","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Texas","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Utah","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Virginia","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"United States","Washington","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"China","Beijing","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"France","Paris","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
"NCT04292730","https://ClinicalTrials.gov/show/NCT04292730",NA,"Germany","Berlin","2020-Mar","Recruiting","Randomized","Open-Label",2,"Confirmed","Mixed","Hospitalized","Mortality, ICU Admission, Non-invasive Ventilation, Treatment-emergent Adverse Events","Remdesivir",1600
