uniprot_id	molecule_chembl_id	molecule_pref_name	mechanism_of_action	action_type	evidence
P04150	CHEMBL1200617	RIMEXOLONE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1200342	PARAMETHASONE ACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed
P04150	CHEMBL1200909	PREDNISOLONE TEBUTATE	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL1497	BETAMETHASONE VALERATE	Glucocorticoid receptor agonist	AGONIST	PubMed, Wikipedia
P04150	CHEMBL1200774	FLUPREDNISOLONE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed
P04150	CHEMBL131	PREDNISOLONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed
P04150	CHEMBL1201012	FLURANDRENOLIDE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1451	TRIAMCINOLONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1200877	FLUMETHASONE PIVALATE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed
P04150	CHEMBL1201302	DEXAMETHASONE PHOSPHORIC ACID	Glucocorticoid receptor agonist	AGONIST	DailyMed
P04150	CHEMBL1200538	BETAMETHASONE ACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL1200562	HYDROCORTISONE VALERATE	Glucocorticoid receptor agonist	AGONIST	PubMed, DailyMed
P04150	CHEMBL1530428	DEXAMETHASONE ACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed
P04150	CHEMBL389621	HYDROCORTISONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1200865	LOTEPREDNOL ETABONATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1501	FLUOCINONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL139835	CYPROTERONE ACETATE	Glucocorticoid receptor antagonist	ANTAGONIST	PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1200878	TRIAMCINOLONE HEXACETONIDE	Glucocorticoid receptor agonist	AGONIST	DailyMed, Wikipedia
P04150	CHEMBL635	PREDNISONE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed, Wikipedia
P04150	CHEMBL1200989	ALCLOMETASONE DIPROPIONATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed
P04150	CHEMBL2105842	CORTIVAZOL	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1641	HYDROCORTISONE PHOSPHORIC ACID	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL2103876	MAPRACORAT	Glucocorticoid receptor agonist	AGONIST	Wikipedia, PubMed
P04150	CHEMBL384467	DEXAMETHASONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1152	PREDNISOLONE ACETATE	Glucocorticoid receptor agonist	AGONIST	FDA
P04150	CHEMBL271220	CORT 108297	Glucocorticoid receptor antagonist	ANTAGONIST	PubMed, Other
P04150	CHEMBL1201207	BETAMETHASONE PHOSPHORIC ACID	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL1676	FLUTICASONE FUROATE	Glucocorticoid receptor agonist	AGONIST	DailyMed
P04150	CHEMBL632	BETAMETHASONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1201064	FLUOROMETHOLONE ACETATE	Glucocorticoid receptor agonist	AGONIST	Expert, PubMed, DailyMed
P04150	CHEMBL989	FLUOCINOLONE ACETONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1091	HYDROCORTISONE ACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN, DailyMed
P04150	CHEMBL1200376	BETAMETHASONE BENZOATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1201265	METHYLPREDNISOLONE HEMISUCCINATE	Glucocorticoid receptor agonist	AGONIST	FDA
P04150	CHEMBL1276308	MIFEPRISTONE	Glucocorticoid receptor antagonist	ANTAGONIST	PubMed, DailyMed
P04150	CHEMBL1200953	HYDROCORTISONE PROBUTATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1161	MOMETASONE FUROATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1200545	DIFLORASONE DIACETATE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1201173	MEDRYSONE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1549	HYDROCORTISONE CYPIONATE	Glucocorticoid receptor agonist	AGONIST	DailyMed, Wikipedia
P04150	CHEMBL1200908	HALOBETASOL PROPIONATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed
P04150	CHEMBL1370	BUDESONIDE	Glucocorticoid receptor agonist	AGONIST	KEGG, PubMed, PubMed, PubMed
P04150	CHEMBL1200600	FLUOROMETHOLONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1504	TRIAMCINOLONE ACETONIDE	Glucocorticoid receptor agonist	AGONIST	DailyMed, Wikipedia, Wikipedia
P04150	CHEMBL3544957	CORT 125134	Glucocorticoid receptor antagonist	ANTAGONIST	Other
P04150	CHEMBL1201263	HYDROCORTAMATE	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL3545391	ORG-34517	Glucocorticoid receptor antagonist	ANTAGONIST	PubMed
P04150	CHEMBL1201148	MEPREDNISONE	Glucocorticoid receptor agonist	AGONIST	ISBN, Expert, PubMed, Wikipedia
P04150	CHEMBL977	HYDROCORTISONE HEMISUCCINATE	Glucocorticoid receptor agonist	AGONIST	ISBN, DailyMed
P04150	CHEMBL2040682	CICLESONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed, DailyMed
P04150	CHEMBL1201749	DIFLUPREDNATE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1201891	DEFLAZACORT	Glucocorticoid receptor agonist	AGONIST	FDA
P04150	CHEMBL1159650	CLOBETASOL PROPIONATE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1200975	CLOCORTOLONE PIVALATE	Glucocorticoid receptor agonist	AGONIST	Wikipedia, FDA
P04150	CHEMBL3137304	DAGROCORAT	Glucocorticoid receptor modulator	MODULATOR	Wikipedia, Other
P04818	CHEMBL917	FLOXURIDINE	Thymidylate synthase inhibitor	INHIBITOR	PubMed, PubMed, PubMed, PubMed
P04818	CHEMBL225072	PEMETREXED	Thymidylate synthase inhibitor	INHIBITOR	DailyMed
P04818	CHEMBL1773	CAPECITABINE	Thymidylate synthase inhibitor	INHIBITOR	DailyMed
P04818	CHEMBL225071	RALTITREXED	Thymidylate synthase inhibitor	INHIBITOR	PubMed, PubMed
P04818	CHEMBL185	FLUOROURACIL	Thymidylate synthase inhibitor	INHIBITOR	DailyMed
P05091	CHEMBL964	DISULFIRAM	Aldehyde dehydrogenase inhibitor	INHIBITOR	Wikipedia, DailyMed
P05108	CHEMBL488	AMINOGLUTETHIMIDE	Cytochrome P450 11A1 inhibitor	INHIBITOR	FDA
P05108	CHEMBL1670	MITOTANE	Cytochrome P450 11A1 inhibitor	INHIBITOR	PubMed
P06213	CHEMBL1201543	INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201629	INSULIN PURIFIED BEEF	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL2108569	INSULIN PEGLISPRO	Insulin receptor agonist	AGONIST	PubMed, PubMed
P06213	CHEMBL1201628	INSULIN SUSP PROTAMINE ZINC BEEF/PORK	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201635	INSULIN SUSP ISOPHANE BEEF/PORK	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201640	INSULIN ZINC SUSP EXTENDED BEEF	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201641	INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201496	INSULIN ASPART	Insulin receptor agonist	AGONIST	DailyMed
P06213	CHEMBL1201639	INSULIN ZINC SUSP BEEF	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201631	INSULIN	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201656	INSULIN SUSP ISOPHANE PURIFIED PORK	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201664	INSULIN ASPART PROTAMINE RECOMBINANT	Insulin receptor agonist	AGONIST	DailyMed
P06213	CHEMBL1201644	INSULIN ZINC SUSP RECOMBINANT HUMAN	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201653	INSULIN ZINC SUSP PURIFIED PORK	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201542	INSULIN ZINC SUSP EXTENDED PURIFIED BEEF	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201541	INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF	Insulin receptor agonist	AGONIST	FDA
P06213	CHEMBL1201638	INSULIN SUSP PROTAMINE ZINC PURIFIED PORK	Insulin receptor agonist	AGONIST	FDA
