molecule_chembl_id	CHEMBL_PHASE	PREF_NAME	IN_TRIALS	PRECLINICAL	ELLINGER_ACTIVE	TOURET_ACTIVE	WESTON_ACTIVE	JEON_ACTIVE	RIVA_ACTIVE	SI_ACTIVE	GORDON_ACTIVE
CHEMBL1086	4	DIBUCAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1086440	4	TRICLABENDAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1087	4	MEPIVACAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1087630	0	OXIBENDAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1088	4	MESORIDAZINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1088751	2	PH-797804	0	0	0.2	-1	-1	-1	-1	-1	-1
CHEMBL1089	4	PHENELZINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1089221	4	BENDAZAC	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL109	4	VALPROIC ACID	0	0	-1	0	-1	-1	-1	-1	0
CHEMBL1090	4	VIDARABINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1091	4	HYDROCORTISONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1093	4	ARTICAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1094	4	FELBAMATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1095	4	ETHOTOIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1095930	4	CEFUROXIME AXETIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1096	4	AMLEXANOX	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1096979	4	BENSERAZIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1098	4	BUPIVACAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1098319	4	MESNA	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1099	0	DIMETHADIONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL11	4	IMIPRAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1101	4	BIPERIDEN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1103	4	FURAZOLIDONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1104	4	EDROPHONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL110458	4	MIGALASTAT	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1107	4	HALOFANTRINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL110739	3	CORTICOSTERONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1108	4	DROPERIDOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1109	4	SULFAPHENAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL111	4	RIMONABANT	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1110	4	ALOSETRON	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1111	4	AMBRISENTAN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1112	4	ARIPIPRAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1113	4	AMOXAPINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1114	3	THEOBROMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1115	4	PYRIDOSTIGMINE	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL111861	3	CORTISONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL112	4	ACETAMINOPHEN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1123	4	DICYCLOMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL112687	0	ACEDOBEN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1129	4	TRIFLURIDINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL113	4	CAFFEINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1131	4	ACITRETIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1138	4	EZETIMIBE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL114	4	SAQUINAVIR	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1140	4	NIACINAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1144	4	PRAVASTATIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1146	4	CEFAMANDOLE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL114655	0	NYLIDRIN	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1148	4	TORSEMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1149	4	LEVOCARNITINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL115	4	INDINAVIR	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1152	4	PREDNISOLONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1153	0	DIGOXIGENIN	0	1	-1	0	-1	-1	-1	-1	-1
CHEMBL1159	4	PINACIDIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1159650	4	CLOBETASOL PROPIONATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1159717	4	TULOBUTEROL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL116	4	AMPRENAVIR	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1161	4	MOMETASONE FUROATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1162	4	NORETHINDRONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1165011	0	AMPYRONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1165268	4	IODIPAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1165342	4	VINCAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1166	4	ARGATROBAN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL11662	3	OZAGREL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1167	4	SPECTINOMYCIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1168	4	RAMIPRIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1169	4	AMINOSALICYLIC ACID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL116943	2	PENTYLENETETRAZOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1170	4	TESTOSTERONE PROPIONATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1170610	0	BENZOXIQUINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1171837	4	PONATINIB	0	0	-1	-1	-1	-1	-1	-1	1
CHEMBL1172	4	DESLORATADINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1179	0	TRANYLCYPROMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1179735	0	AMPROLIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL118	4	CELECOXIB	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1180156	0	SUPLATAST	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1180725	4	PROPANTHELINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1182210	0	BENZETHONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1183717	4	ALMITRINE	0	0	1	-1	-1	-1	-1	-1	-1
CHEMBL1185	4	ZOLMITRIPTAN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1186610	4	ANISOTROPINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1187724	4	METHYLATROPINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1187846	0	SCOPOLAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1189432	4	OLOPATADINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1189513	0	FURALTADONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1189679	4	PALONOSETRON	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1190	4	DECAMETHONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1191	4	SULFAMETHIZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1192187	0	NITROCARAMIPHEN	0	1	-1	0	-1	-1	-1	-1	-1
CHEMBL1193	4	PHENIRAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1194	4	PRILOCAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1194287	0	CHLOROPYRAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1194325	4	ACLIDINIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1194666	4	DIETHYLPROPION	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1195	4	PROPOXYCAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1195210	0	ALEXIDINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1196	4	PROPARACAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1197	4	HEXYLCAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1197051	4	ISOXSUPRINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1197206	0	TOLONIUM	0	1	-1	0	-1	-1	-1	-1	-1
CHEMBL1198	4	PRAMOXINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1199080	4	BRETYLIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1199480	2	OCTENIDINE	0	0	0.3	-1	-1	-1	-1	-1	-1
CHEMBL1200	4	BENOXINATE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1200342	4	PARAMETHASONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200356	4	CYCLACILLIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200359	4	SULFAMETER	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200374	4	EXEMESTANE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1200376	4	BETAMETHASONE BENZOATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200384	4	BETAMETHASONE DIPROPIONATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200386	4	PREDNICARBATE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1200406	4	DIMENHYDRINATE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1200436	4	OXANDROLONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200438	4	TIOCONAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200449	4	TRIAMCINOLONE DIACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200455	4	IOHEXOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200500	4	BECLOMETHASONE DIPROPIONATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200507	4	IODIXANOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200522	4	AVOBENZONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200538	4	BETAMETHASONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200542	4	DESOXYCORTICOSTERONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200545	4	DIFLORASONE DIACETATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200558	4	BACITRACIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200562	4	HYDROCORTISONE VALERATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200570	4	MEGLUMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200585	4	OXYMETHOLONE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1200592	4	DESOXYCORTICOSTERONE PIVALATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200596	4	CHLOROXINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200600	4	FLUOROMETHOLONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200604	4	TROPICAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200614	4	IOVERSOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200617	4	RIMEXOLONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200624	4	ETHYNODIOL DIACETATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200633	4	IVERMECTIN	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200666	4	CALCIPOTRIENE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200709	4	CROTAMITON	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200714	4	CHLORMEZANONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200732	4	AMCINONIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200761	4	CHLOROTRIANISENE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200770	4	IOCETAMIC ACID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200845	4	HALCINONIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200848	4	HYDROXYPROGESTERONE CAPROATE	0	0	-1	-1	-1	1	-1	-1	-1
CHEMBL1200853	4	DYDROGESTERONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200865	4	LOTEPREDNOL ETABONATE	0	0	0.2	0	-1	-1	-1	-1	-1
CHEMBL1200877	4	FLUMETHASONE PIVALATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200878	4	TRIAMCINOLONE HEXACETONIDE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200907	4	TRILOSTANE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200909	4	PREDNISOLONE TEBUTATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1200932	4	IOPAMIDOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200934	4	NORGESTIMATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200963	4	BIMATOPROST	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200975	4	CLOCORTOLONE PIVALATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1200989	4	ALCLOMETASONE DIPROPIONATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201010	4	FLUDROCORTISONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201012	4	FLURANDRENOLIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201016	4	CEFPODOXIME PROXETIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201039	4	BENZTHIAZIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201046	4	CEFORANIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201064	4	FLUOROMETHOLONE ACETATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201109	4	DESONIDE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1201112	4	NELARABINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201117	4	METHOCARBAMOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201131	4	PIPERONYL BUTOXIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201139	4	MEGESTROL ACETATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201148	4	MEPREDNISONE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201151	4	MESTRANOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201168	4	ISOCARBOXAZID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201173	4	MEDRYSONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201195	4	CEFMETAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201196	4	SERTACONAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201198	4	PEMIROLAST	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201203	4	BENZTROPINE	0	0	-1	0	0.5	-1	-1	-1	-1
CHEMBL1201204	4	CEFPIRAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201207	4	BETAMETHASONE PHOSPHORIC ACID	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201212	4	MIDODRINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201213	4	ISOETHARINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201217	4	DYCLONINE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1201219	4	VECURONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201220	4	DIATRIZOIC ACID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201229	4	DEMECARIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201232	4	ISOPROPAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201233	4	METHYLDOPATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201234	4	MEPHENTERMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201236	4	CARBIDOPA	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201237	4	LEVOBUNOLOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201248	4	CISATRACURIUM	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1201256	4	TRIMETHOBENZAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201262	4	DIPIVEFRIN	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1201264	4	METHANTHELINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201265	4	METHYLPREDNISOLONE HEMISUCCINATE	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201266	4	LODOXAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201270	4	METHENAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201284	4	CINACALCET	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201288	4	DANTROLENE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201291	4	IOXAGLIC ACID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201293	4	ACAMPROSATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201302	4	DEXAMETHASONE PHOSPHORIC ACID	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201303	4	PYRVINIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201314	4	VALGANCICLOVIR	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201319	4	METARAMINOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201322	4	THONZONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201323	4	BETAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201335	4	GLYCOPYRRONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201338	4	CYCLOPENTOLATE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1201340	4	DIPHEMANIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201342	4	METHIXENE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201346	4	BALSALAZIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201354	4	TRIDIHEXETHYL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201356	4	METHYLERGONOVINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201388	0	FLUDROCORTISONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201392	0	FLUMETHASONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201414	4	TINZAPARIN SODIUM	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201439	4	BASILIXIMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201469	4	GRAMICIDIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201548	4	TYLOXAPOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201558	4	INTERFERON ALFA-2B	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201562	4	INTERFERON-BETA-1A	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201563	4	INTERFERON-BETA-1B	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201570	4	ANAKINRA	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201571	4	ALEFACEPT	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201572	4	ETANERCEPT	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201575	4	EFALIZUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201580	4	ADALIMUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201581	4	INFLIXIMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201583	4	BEVACIZUMAB	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201587	4	ALEMTUZUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201605	4	DACLIZUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201607	4	NATALIZUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201608	4	MUROMONAB-CD3	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201670	4	SARGRAMOSTIM	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201685	0	ENOXAPARIN	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201753	4	PITAVASTATIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201754	4	RUFINAMIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201760	4	BESIFLOXACIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201772	4	PRASUGREL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201774	4	SAPROPTERIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1201823	4	ABATACEPT	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201828	4	ECULIZUMAB	1	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201830	4	RILONACEPT	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201831	4	CERTOLIZUMAB PEGOL	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201833	4	GOLIMUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201834	4	CANAKINUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
CHEMBL1201835	4	USTEKINUMAB	0	0	-1	-1	-1	-1	-1	-1	-1
