uniprot_id	molecule_chembl_id	molecule_pref_name	ave_standard_value..nanoMolar.	ave_pchembl	assay_type	source	documents_id	family
P04150	CHEMBL384467	DEXAMETHASONE	4.76	8.51	B, F	1, 15	CHEMBL1909618, CHEMBL1157339, CHEMBL1148778, CHEMBL2311478, CHEMBL3352412, CHEMBL3351663, CHEMBL1149655, CHEMBL3232739, CHEMBL1138343, CHEMBL3120138, CHEMBL3421549, CHEMBL1649335, CHEMBL1255506, CHEMBL2424642, CHEMBL1799968, CHEMBL1154793, CHEMBL4041544, CHEMBL2390918, CHEMBL3875185, CHEMBL1157104, CHEMBL4261581, CHEMBL1156190, CHEMBL1129561, CHEMBL3867467, CHEMBL3352560, CHEMBL1140203, CHEMBL1909046, CHEMBL2390830	nuclear_receptor
P04150	CHEMBL1370	BUDESONIDE	3.7	8.6	B, F	1, 15	CHEMBL1909046, CHEMBL4028861, CHEMBL1833833, CHEMBL4184331	nuclear_receptor
P04150	CHEMBL1451	TRIAMCINOLONE	42	7.41	B	15	CHEMBL1909046	nuclear_receptor
P04150	CHEMBL650	METHYLPREDNISOLONE	8.02	8.13	B	15	CHEMBL1909046	nuclear_receptor
P04150	CHEMBL1200600	FLUOROMETHOLONE	2.52	8.63	B	15	CHEMBL1909046	nuclear_receptor
P04150	CHEMBL131	PREDNISOLONE	18.89	7.99	B, F	1, 15, 37	CHEMBL1148027, CHEMBL1909630, CHEMBL1938296, CHEMBL4190372, CHEMBL1157802, CHEMBL1799968, CHEMBL1759905, CHEMBL3638885, CHEMBL1134574, CHEMBL1681769, CHEMBL1156190, CHEMBL1138343, CHEMBL1144889, CHEMBL1143546, CHEMBL1134311, CHEMBL1909046, CHEMBL1909618, CHEMBL3232739, CHEMBL1681726, CHEMBL3867467, CHEMBL3120138, CHEMBL1147494, CHEMBL1139273, CHEMBL1250518	nuclear_receptor
P04150	CHEMBL989	FLUOCINOLONE ACETONIDE	2.28	8.68	B	15	CHEMBL1909046	nuclear_receptor
P04150	CHEMBL632	BETAMETHASONE	5.63	8.28	B	15	CHEMBL1909046	nuclear_receptor
P04350	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL3407434, CHEMBL1137258	other
P05023	CHEMBL1751	DIGOXIN	333.64	6.49	B	1	CHEMBL1144898, CHEMBL4229479, CHEMBL3593198	other
P05023	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P05026	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P05026	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
P06276	CHEMBL95	TACRINE	30.11	7.76	B	1	CHEMBL4004847, CHEMBL1141710, CHEMBL4049393, CHEMBL1150773, CHEMBL1811888, CHEMBL1136713, CHEMBL1141589, CHEMBL4196084, CHEMBL4196025, CHEMBL3870313, CHEMBL4020829, CHEMBL3124749, CHEMBL4270567, CHEMBL2396588, CHEMBL1926501, CHEMBL4190343, CHEMBL1128725, CHEMBL3870312, CHEMBL3414495, CHEMBL1139512, CHEMBL3392959, CHEMBL3632576, CHEMBL4002588, CHEMBL1146616, CHEMBL4152325, CHEMBL2062461, CHEMBL3085683, CHEMBL3352817, CHEMBL4251692, CHEMBL3822387	other
P06493	CHEMBL428690	ALVOCIDIB	29.29	7.53	B	1	CHEMBL3856187, CHEMBL1148265, CHEMBL4270504, CHEMBL3112420	kinase
P07333	CHEMBL101253	VATALANIB	18	7.75	B	1	CHEMBL1150977	kinase
P07333	CHEMBL3813873	PEXIDARTINIB	11.9	7.93	B	1	CHEMBL4219057, CHEMBL4033795	kinase
P07437	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL4138136, CHEMBL1137258	other
P07550	CHEMBL1256786	FORMOTEROL	8.88	8.63	B, F	1	CHEMBL1156887, CHEMBL3297645, CHEMBL3352631, CHEMBL1221245, CHEMBL1811800, CHEMBL2424620, CHEMBL1157120, CHEMBL1681687, CHEMBL3797035, CHEMBL3259656, CHEMBL1944599, CHEMBL1154673	gpcr
P07550	CHEMBL434	ISOPROTERENOL	21.5	8.31	B, F	1	CHEMBL1147662, CHEMBL4270519, CHEMBL1138625, CHEMBL1122167, CHEMBL1138480, CHEMBL3097992, CHEMBL1833832, CHEMBL4251680, CHEMBL1153472, CHEMBL1152888, CHEMBL3797035	gpcr
P07949	CHEMBL1336	SORAFENIB	11.48	7.99	B	1	CHEMBL3425502, CHEMBL1908390, CHEMBL1240340	kinase
P08172	CHEMBL1382	TOLTERODINE	7.52	8.26	B, F	1	CHEMBL1147773, CHEMBL1143184	gpcr
P08235	CHEMBL1393	SPIRONOLACTONE	22.82	7.97	B, F	1	CHEMBL1154793, CHEMBL3351638, CHEMBL1212897, CHEMBL3232811, CHEMBL1138341	nuclear_receptor
P08588	CHEMBL434	ISOPROTERENOL	23.78	8.14	F	1	CHEMBL1138625, CHEMBL1122167, CHEMBL1142325, CHEMBL1833832, CHEMBL4270519, CHEMBL1138480, CHEMBL1158395	gpcr
P08908	CHEMBL49	BUSPIRONE	21.54	7.8	B, F	1	CHEMBL1136854, CHEMBL1138077, CHEMBL2203036, CHEMBL1159064, CHEMBL4033775, CHEMBL2401625, CHEMBL3994665, CHEMBL4257531, CHEMBL1148245, CHEMBL1126741, CHEMBL1147799, CHEMBL4251643, CHEMBL1126266, CHEMBL1155229, CHEMBL3232706	gpcr
P08913	CHEMBL654	MIRTAZAPINE	52.55	7.38	B	1	CHEMBL1132860, CHEMBL1142715	gpcr
P08913	CHEMBL778	DEXMEDETOMIDINE	1.15	8.96	B, F	1, 38	CHEMBL1641573, CHEMBL3882386	gpcr
P09619	CHEMBL941	IMATINIB	21	7.7	B	1	CHEMBL1908390, CHEMBL1144455	kinase
P09619	CHEMBL1336	SORAFENIB	14.2	7.87	B	1, 37	CHEMBL1152273, CHEMBL3886965	kinase
P09619	CHEMBL502835	NINTEDANIB	5.2	8.43	B	1	CHEMBL2407039, CHEMBL4130560, CHEMBL4130391, CHEMBL3992544, CHEMBL1908390	kinase
P09619	CHEMBL101253	VATALANIB	25	7.6	B	1	CHEMBL1908390	kinase
P0DPH7	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL1137258, CHEMBL3407434	other
P10721	CHEMBL1336	SORAFENIB	18.29	7.77	B	1	CHEMBL1908390, CHEMBL1240346, CHEMBL1152273	kinase
P10721	CHEMBL101253	VATALANIB	11.05	8.03	B	1	CHEMBL1908390, CHEMBL1782045	kinase
P10721	CHEMBL1946170	REGORAFENIB	6.1	8.21	B	1	CHEMBL4017543	kinase
P10721	CHEMBL941	IMATINIB	15.83	7.81	B	1	CHEMBL1908390, CHEMBL4017543, CHEMBL1782045, CHEMBL2401695	kinase
P11473	CHEMBL1042	CHOLECALCIFEROL	0.21	9.68	B	1	CHEMBL3352412	nuclear_receptor
P11511	CHEMBL1200374	EXEMESTANE	186.97	7.18	B	1	CHEMBL2176958, CHEMBL3751755, CHEMBL3407463, CHEMBL4020780	other
P11802	CHEMBL428690	ALVOCIDIB	6.15	8.27	B	1	CHEMBL1908390	kinase
P11802	CHEMBL3301610	ABEMACICLIB	3.11	8.63	B	1	CHEMBL4184274, CHEMBL3603804, CHEMBL4177628, CHEMBL3856187, CHEMBL4270627, CHEMBL4196019, CHEMBL4270504, CHEMBL3763042	kinase
P12268	CHEMBL866	MYCOPHENOLIC ACID	86.99	7.59	B	1	CHEMBL2016539, CHEMBL4270650, CHEMBL1681750, CHEMBL1129445, CHEMBL1146203, CHEMBL1136296, CHEMBL1138100, CHEMBL1152226, CHEMBL1131476, CHEMBL1136569, CHEMBL1287663, CHEMBL4265991	other
P12821	CHEMBL3039598	FOSINOPRIL	1	9	B	1	CHEMBL1133572	other
P13569	CHEMBL2010601	IVACAFTOR	390.25	7.17	B	1	CHEMBL3352116, CHEMBL3352164, CHEMBL4024762	ion_channel
P13637	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P13637	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
P13945	CHEMBL434	ISOPROTERENOL	38.1	7.75	B, F	1	CHEMBL4270519, CHEMBL1138625, CHEMBL1145008, CHEMBL1122167, CHEMBL1147662, CHEMBL1158395, CHEMBL1144675, CHEMBL1138480, CHEMBL4049422, CHEMBL1153472, CHEMBL1833832	gpcr
P14324	CHEMBL924	ZOLEDRONIC ACID	139.42	7.65	B, F	1	CHEMBL2046409, CHEMBL1142396, CHEMBL1144872, CHEMBL2331292, CHEMBL3407447, CHEMBL4265921, CHEMBL3425452, CHEMBL3297739	other
P14415	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P14415	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
P14416	CHEMBL479	THIORIDAZINE	24.67	7.65	B	1, 15	CHEMBL1909046, CHEMBL1145042	gpcr
P14416	CHEMBL325109	CLEBOPRIDE	15	7.84	B	1	CHEMBL1136241	gpcr
P14416	CHEMBL715	OLANZAPINE	28.06	7.74	B	1, 15, 37	CHEMBL2346662, CHEMBL1157594, CHEMBL1142715, CHEMBL2157986, CHEMBL3751719, CHEMBL3638417, CHEMBL1149193, CHEMBL1148822, CHEMBL3232770, CHEMBL4229332, CHEMBL3217546, CHEMBL1134342, CHEMBL3351528, CHEMBL1909046	gpcr
P14416	CHEMBL531	PERGOLIDE	23.84	7.96	B	1, 15, 38	CHEMBL3286112, CHEMBL1131163, CHEMBL1130416, CHEMBL3880399, CHEMBL1909046	gpcr
P15056	CHEMBL1336	SORAFENIB	14.93	7.96	B	1, 37	CHEMBL1145637, CHEMBL3638864, CHEMBL1240298, CHEMBL4219211, CHEMBL3352345, CHEMBL1667771, CHEMBL4190375, CHEMBL1149823, CHEMBL3352385, CHEMBL4049397	kinase
P15056	CHEMBL1946170	REGORAFENIB	23.5	7.63	B	1	CHEMBL1944549	kinase
P16234	CHEMBL502835	NINTEDANIB	8.44	8.26	B	1	CHEMBL3992544, CHEMBL4130391, CHEMBL2407039, CHEMBL1137777, CHEMBL1908390	kinase
P17948	CHEMBL1336	SORAFENIB	18	7.75	B	1	CHEMBL1806486	kinase
P17948	CHEMBL101253	VATALANIB	9.6	8.02	B	1	CHEMBL1908390	kinase
P17948	CHEMBL502835	NINTEDANIB	23.4	7.63	B	1	CHEMBL3992544	kinase
P18825	CHEMBL654	MIRTAZAPINE	18	7.75	B	1	CHEMBL1142715	gpcr
P18825	CHEMBL778	DEXMEDETOMIDINE	15.69	8.41	B	1, 38	CHEMBL1148710, CHEMBL3882386	gpcr
P20309	CHEMBL1382	TOLTERODINE	3.4	8.46	B	1	CHEMBL1147773, CHEMBL1773026	gpcr
P20648	CHEMBL1503	OMEPRAZOLE	350.3	6.47	B, F	1	CHEMBL1125404, CHEMBL1124228, CHEMBL1130286	other
P20839	CHEMBL866	MYCOPHENOLIC ACID	65.57	7.38	B	1	CHEMBL1138100, CHEMBL1124704, CHEMBL1152226, CHEMBL1136568, CHEMBL1681750, CHEMBL1287663, CHEMBL4265991	other
P21453	CHEMBL314854	FINGOLIMOD	3.17	8.79	B, F	1	CHEMBL1938299, CHEMBL3085709, CHEMBL3751734	gpcr
P21728	CHEMBL588	FENOLDOPAM	34	7.47	B	1	CHEMBL1131163, CHEMBL1129489	gpcr
P21917	CHEMBL715	OLANZAPINE	40.99	7.47	B	1	CHEMBL3232708, CHEMBL1129432, CHEMBL3217546, CHEMBL3751719, CHEMBL1155799, CHEMBL1148822	gpcr
P22303	CHEMBL95	TACRINE	232.13	6.82	B	1, 15	CHEMBL1126001, CHEMBL3232781, CHEMBL3603732, CHEMBL4118038, CHEMBL3870312, CHEMBL1138487, CHEMBL2062461, CHEMBL3875143, CHEMBL1155460, CHEMBL4196084, CHEMBL4145512, CHEMBL4229529, CHEMBL1150531, CHEMBL1811888, CHEMBL1148525, CHEMBL1129655, CHEMBL3632542, CHEMBL3352549, CHEMBL1770085, CHEMBL3414495, CHEMBL1134774, CHEMBL3351527, CHEMBL3351824, CHEMBL1137340, CHEMBL1139512, CHEMBL4152325, CHEMBL1138241, CHEMBL4130500, CHEMBL1156813, CHEMBL1152583, CHEMBL2396588, CHEMBL1150773, CHEMBL1240490, CHEMBL1764969, CHEMBL1128477, CHEMBL3352817, CHEMBL3044866, CHEMBL2010698, CHEMBL4049393, CHEMBL3085683, CHEMBL3784977, CHEMBL3351298, CHEMBL1126157, CHEMBL4002576, CHEMBL3758147, CHEMBL4251692, CHEMBL4190343, CHEMBL1141589, CHEMBL3112576, CHEMBL1138734, CHEMBL4261526, CHEMBL2413025, CHEMBL1909046, CHEMBL1134784, CHEMBL2157925, CHEMBL1141884, CHEMBL4002588, CHEMBL3352376, CHEMBL4196025, CHEMBL3769338, CHEMBL3392959, CHEMBL1781988, CHEMBL4020829, CHEMBL3822387, CHEMBL3217547, CHEMBL3351729, CHEMBL2311409, CHEMBL1145289, CHEMBL1926501	other
P22303	CHEMBL502	DONEPEZIL	31.26	7.7	B, F	1	CHEMBL3868598, CHEMBL4052796, CHEMBL4130500, CHEMBL3875143, CHEMBL4043275, CHEMBL4020795, CHEMBL1150773, CHEMBL1135324, CHEMBL3627616, CHEMBL3351711, CHEMBL4270597, CHEMBL4145512, CHEMBL4145530, CHEMBL4011587, CHEMBL4261537, CHEMBL1770085, CHEMBL2311270, CHEMBL3351729, CHEMBL3286139, CHEMBL3585305, CHEMBL4265951, CHEMBL1764969, CHEMBL3407435, CHEMBL1212814, CHEMBL3817803, CHEMBL4002588, CHEMBL4049393, CHEMBL1152287, CHEMBL1126447, CHEMBL4002586, CHEMBL1155458, CHEMBL3351633, CHEMBL4190315, CHEMBL4229448, CHEMBL4190307, CHEMBL3861952, CHEMBL4033632, CHEMBL3769338, CHEMBL4052630, CHEMBL2311409, CHEMBL1773070, CHEMBL3822387	other
P22303	CHEMBL1115	PYRIDOSTIGMINE	355	6.45	B	1	CHEMBL1177652, CHEMBL3826971	other
P22748	CHEMBL18	ETHOXZOLAMIDE	466.5	6.55	B	1	CHEMBL1944506, CHEMBL1155543	other
P23219	CHEMBL154	NAPROXEN	280.5	6.57	B	1, 15	CHEMBL1129174, CHEMBL1909046	other
P23219	CHEMBL6	INDOMETHACIN	98.66	7.35	B, F	1, 15	CHEMBL1123866, CHEMBL1944630, CHEMBL1154518, CHEMBL1138326, CHEMBL1909046, CHEMBL1147123, CHEMBL1132677, CHEMBL2321830, CHEMBL3045211, CHEMBL1158428, CHEMBL1147594, CHEMBL1828531, CHEMBL1145864, CHEMBL2169818, CHEMBL1681761, CHEMBL1811901, CHEMBL4118289, CHEMBL1165918, CHEMBL2062428, CHEMBL1149501, CHEMBL1155260, CHEMBL1131754, CHEMBL1135906, CHEMBL1129773, CHEMBL1136052, CHEMBL1129962, CHEMBL1132621	other
P23219	CHEMBL563	FLURBIPROFEN	15.5	7.84	B	1, 15	CHEMBL1909046, CHEMBL1141454	other
P23219	CHEMBL139	DICLOFENAC	37	7.77	B	1, 15	CHEMBL1141454, CHEMBL2034973, CHEMBL1151268, CHEMBL3045338, CHEMBL1140932, CHEMBL1155111, CHEMBL1131765, CHEMBL1909046	other
P23219	CHEMBL686	MEFENAMIC ACID	116	6.94	B	15	CHEMBL1909046	other
P23219	CHEMBL75435	DEXKETOPROFEN	3.19	8.54	B	1, 15	CHEMBL1909046, CHEMBL1133736	other
P23219	CHEMBL571	KETOPROFEN	115.33	7.68	B, F	1, 15	CHEMBL1156585, CHEMBL1136059, CHEMBL1909046	other
P23219	CHEMBL175	DEXIBUPROFEN	101.83	7	B	1, 15	CHEMBL1944509, CHEMBL1909046	other
P23219	CHEMBL1020	TOLMETIN	41	7.39	B	15	CHEMBL1909046	other
P23219	CHEMBL1071	OXAPROZIN	856	6.07	B	15	CHEMBL1909046	other
P23219	CHEMBL1077	BROMFENAC	8.48	8.07	B	15	CHEMBL1909046	other
P23219	CHEMBL521	IBUPROFEN	251	6.61	B	1, 15	CHEMBL2380195, CHEMBL1909046	other
P23219	CHEMBL509	MECLOFENAMIC ACID	211.5	6.68	B	1, 15	CHEMBL1909046, CHEMBL2331317	other
P23219	CHEMBL956	SUPROFEN	560	6.25	B	1	CHEMBL1156585	other
P23219	CHEMBL469	KETOROLAC	13	7.89	B	15	CHEMBL1909046	other
P23219	CHEMBL1297	FENOPROFEN	145	6.84	B	15	CHEMBL1909046	other
P23280	CHEMBL18	ETHOXZOLAMIDE	38	7.43	B	1	CHEMBL2439997, CHEMBL1641500	other
P23458	CHEMBL2105759	BARICITINIB	17.85	7.86	B	1	CHEMBL3763089, CHEMBL3297690, CHEMBL3621116, CHEMBL4020822	kinase
P23458	CHEMBL221959	TOFACITINIB	11.31	8.3	B	1	CHEMBL1938231, CHEMBL3593193, CHEMBL4229546, CHEMBL3102787, CHEMBL2385026, CHEMBL2375236, CHEMBL1908390, CHEMBL4118225, CHEMBL4020822, CHEMBL1629452, CHEMBL4257589, CHEMBL3351377, CHEMBL1151738, CHEMBL4028908, CHEMBL3297690, CHEMBL1649080, CHEMBL3351789, CHEMBL2375291, CHEMBL4219073	kinase
P23458	CHEMBL1789941	RUXOLITINIB	7.03	8.58	B	1	CHEMBL2176876, CHEMBL2385054, CHEMBL2375236, CHEMBL2150873, CHEMBL3297690, CHEMBL3797141, CHEMBL4020822, CHEMBL3112442, CHEMBL3351789, CHEMBL3779778, CHEMBL1908390	kinase
P27487	CHEMBL237500	LINAGLIPTIN	1.03	9.23	B	1, 37	CHEMBL3886676, CHEMBL4130390, CHEMBL3813592	other
P27815	CHEMBL514800	APREMILAST	74	7.13	B	1	CHEMBL1152807	other
P28223	CHEMBL654	MIRTAZAPINE	69	7.16	B	1	CHEMBL1142715	gpcr
P28223	CHEMBL715	OLANZAPINE	17.14	8.2	B	1, 15	CHEMBL1909046, CHEMBL3608303, CHEMBL1149193, CHEMBL1148822, CHEMBL4229332, CHEMBL1142715, CHEMBL3352364, CHEMBL1150510, CHEMBL1129432, CHEMBL3994665, CHEMBL2346662, CHEMBL3217546, CHEMBL3232708	gpcr
P28223	CHEMBL564	PROMAZINE	14.85	7.9	B	15	CHEMBL1909046	gpcr
P28223	CHEMBL479	THIORIDAZINE	2.81	8.63	B	15	CHEMBL1909046	gpcr
P28335	CHEMBL479	THIORIDAZINE	33.5	7.5	B	15	CHEMBL1909046	gpcr
P28335	CHEMBL715	OLANZAPINE	14.39	8	B	1, 15	CHEMBL1150510, CHEMBL1148822, CHEMBL1782020, CHEMBL1909046, CHEMBL1134342, CHEMBL3351528, CHEMBL2346662, CHEMBL3217546, CHEMBL3232708	gpcr
P28335	CHEMBL654	MIRTAZAPINE	39	7.41	B	1	CHEMBL1142715	gpcr
P29597	CHEMBL221959	TOFACITINIB	9.61	8.08	B	1	CHEMBL2385054, CHEMBL4118225, CHEMBL1908390, CHEMBL2150873, CHEMBL3779778, CHEMBL3112442, CHEMBL3102787, CHEMBL2385026, CHEMBL4028908, CHEMBL4257589	kinase
P30556	CHEMBL191	LOSARTAN	18.76	8.08	B, F	1	CHEMBL1127863, CHEMBL2331233, CHEMBL1126796, CHEMBL1127975, CHEMBL1127873, CHEMBL1127527, CHEMBL1127194, CHEMBL1129469, CHEMBL3784921, CHEMBL1128554, CHEMBL3751753, CHEMBL3734751, CHEMBL1151528, CHEMBL1667742, CHEMBL1127049, CHEMBL1125216, CHEMBL3826874, CHEMBL2062490, CHEMBL1126749, CHEMBL2057074	gpcr
P30556	CHEMBL1016	CANDESARTAN	6.33	8.39	B	1	CHEMBL4145475, CHEMBL3784921	gpcr
P30556	CHEMBL1069	VALSARTAN	2.85	8.54	B	1	CHEMBL4145475, CHEMBL1127873	gpcr
P31639	CHEMBL429910	DAPAGLIFLOZIN	3.83	8.59	B	1, 37	CHEMBL4229423, CHEMBL2169783, CHEMBL1166018, CHEMBL1153320, CHEMBL3124917, CHEMBL2062431, CHEMBL1759842, CHEMBL4118179, CHEMBL4138227, CHEMBL3399959, CHEMBL1649072, CHEMBL4014312, CHEMBL3124846, CHEMBL3638957, CHEMBL1781928, CHEMBL3286323	other
P35218	CHEMBL18	ETHOXZOLAMIDE	9.67	8.33	B	1	CHEMBL1141924, CHEMBL1681677	other
P35354	CHEMBL6	INDOMETHACIN	369.22	6.81	B, F	1, 15	CHEMBL2157877, CHEMBL1131821, CHEMBL3045211, CHEMBL1145864, CHEMBL1132677, CHEMBL2057179, CHEMBL2062428, CHEMBL1158428, CHEMBL1134068, CHEMBL1123866, CHEMBL1138326, CHEMBL1129962, CHEMBL1147594, CHEMBL3739340, CHEMBL1149501, CHEMBL1136052, CHEMBL1909046, CHEMBL1817621, CHEMBL1133620, CHEMBL4251628, CHEMBL1129864, CHEMBL4145689, CHEMBL1240434, CHEMBL1133663, CHEMBL1155260, CHEMBL2384982, CHEMBL1129773	other
P35354	CHEMBL139	DICLOFENAC	167.6	7.33	B	1, 15	CHEMBL2034973, CHEMBL1140379, CHEMBL3576775, CHEMBL1140871, CHEMBL1151268, CHEMBL1909046, CHEMBL3808358, CHEMBL4043103, CHEMBL4251628, CHEMBL1145486	other
P35354	CHEMBL509	MECLOFENAMIC ACID	250.33	7.17	B	1, 15	CHEMBL1135055, CHEMBL1909046, CHEMBL2331317	other
P35354	CHEMBL75435	DEXKETOPROFEN	128.5	7.11	B	1, 15	CHEMBL1909046, CHEMBL1133736	other
P35354	CHEMBL563	FLURBIPROFEN	184.5	7.22	B	1, 15	CHEMBL1909046, CHEMBL1141454	other
